,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
259,lmc,LMC132,4,4:56:02.00,4:57:04.81,-67:15:49.2,-67:11:32.0
260,lmc,LMC132,5,4:52:57.55,4:53:59.10,-67:16:01.7,-67:18:27.2
261,lmc,LMC132,6,4:52:55.45,4:53:58.72,-67:27:11.4,-67:25:55.3
262,lmc,LMC132,7,4:52:55.28,4:53:58.83,-67:31:01.7,-67:36:52.3
263,lmc,LMC132,8,4:52:54.30,4:53:59.58,-67:43:11.3,-67:46:31.4
264,lmc,LMC133,1,4:55:34.41,4:56:39.37,-68:19:10.4,-68:18:04.2
265,lmc,LMC133,2,4:55:32.68,4:56:39.06,-68:05:11.5,-68:12:46.7
266,lmc,LMC133,3,4:55:33.23,4:56:38.58,-68:01:39.1,-68:01:16.1
267,lmc,LMC133,4,4:55:31.38,4:56:36.96,-67:45:30.8,-67:51:30.3
268,lmc,LMC133,5,4:52:21.79,4:53:27.48,-67:51:29.2,-67:47:48.3
269,lmc,LMC133,6,4:52:21.90,4:53:27.23,-68:00:32.7,-68:02:25.2
270,lmc,LMC133,7,4:52:20.94,4:53:25.59,-68:09:31.5,-68:10:16.9
271,lmc,LMC133,8,4:52:20.47,4:53:25.82,-68:20:46.5,-68:20:10.9
272,lmc,LMC134,1,4:54:51.24,4:55:58.61,-68:55:42.6,-68:57:22.6
273,lmc,LMC134,2,4:54:47.71,4:55:56.84,-68:47:37.4,-68:44:10.1
274,lmc,LMC134,3,4:54:49.30,4:55:55.39,-68:36:16.1,-68:38:16.8
275,lmc,LMC134,4,4:54:49.43,4:55:54.33,-68:28:22.7,-68:29:33.4
276,lmc,LMC134,5,4:51:34.33,4:52:39.28,-68:27:15.5,-68:27:28.8
277,lmc,LMC134,6,4:51:34.09,4:52:38.49,-68:35:11.6,-68:39:12.5
278,lmc,LMC134,7,4:51:32.00,4:52:38.58,-68:45:15.5,-68:45:26.7
279,lmc,LMC134,8,4:51:32.47,4:52:38.89,-68:55:23.4,-68:53:50.7
280,lmc,LMC135,1,4:54:15.05,4:55:23.80,-69:26:24.8,-69:25:42.4
281,lmc,LMC135,2,4:54:14.00,4:55:22.75,-69:20:30.8,-69:21:24.9
282,lmc,LMC135,3,4:54:13.51,4:55:21.53,-69:13:54.2,-69:14:25.5
283,lmc,LMC135,4,4:54:13.77,4:55:21.46,-69:04:40.3,-69:04:25.6
284,lmc,LMC135,5,4:50:53.25,4:52:00.88,-69:03:02.5,-69:04:06.8
285,lmc,LMC135,6,4:50:48.81,4:52:00.39,-69:13:06.2,-69:15:11.6
286,lmc,LMC135,7,4:50:50.87,4:52:00.28,-69:23:11.8,-69:20:59.4
287,lmc,LMC135,8,4:50:51.17,4:52:00.49,-69:30:05.3,-69:29:24.3
288,lmc,LMC136,1,4:53:35.25,4:54:45.98,-70:06:31.1,-70:01:14.4
289,lmc,LMC136,2,4:53:33.68,4:54:46.11,-69:53:14.2,-69:58:21.4
290,lmc,LMC136,3,4:53:34.76,4:54:43.10,-69:50:24.9,-69:42:13.3
291,lmc,LMC136,4,4:53:33.37,4:54:42.17,-69:34:31.4,-69:37:16.5
